"Date","Site","Temp_C","SpCond_mScm","Cond_mScm","TDS_mgl","Sal_ppt","DO_percent","DO_mgL","pH","Month","Year","Season","Unfiltered_TN_ugL","Filtered_NOx_ugL","Filtered_NHx_ugL","Unfiltered_TP_ugL","Filtered_OP_ugL","TSS_mgL","fecal_coliform_colonies_per100mL"
"2015-08-25","WT3",23.21,0.181,0.175,0.118,0.09,30.7,2.61,6.9,8,2015,"Summer",1509,225,335,86,28,40,65
"2015-09-15","WT5",20.14,0.255,0.232,0.166,0.12,72.5,6.56,6.71,9,2015,"Fall",855,112,128,84,10,12,5
"2015-09-15","WT3",18.13,0.102,0.088,0.066,0.05,56.6,5.32,6.59,9,2015,"Fall",771,42,138,70,4,6,90
"2015-09-15","WT4",18.69,0.208,0.183,0.135,0.1,62.4,5.8,6.55,9,2015,"Fall",988,206,124,104,14,11,30
"2015-09-15","WT1",18.41,0.177,0.154,0.115,0.08,72.3,6.8,6.66,9,2015,"Fall",789,210,54,121,29,5,0
"2015-09-15","AN2",18.07,0.064,0.055,0.041,0.03,18.5,1.72,6.71,9,2015,"Fall",702,50,115,140,16,49,5
"2015-09-15","AN5",18.07,0.136,0.118,0.088,0.06,76.7,7.23,6.72,9,2015,"Fall",2044,49,1205,97,8,7,20
"2015-09-15","AN0",18.39,0.099,0.087,0.065,0.05,39.2,3.66,6.61,9,2015,"Fall",1291,34,486,126,22,11,45
"2015-09-15","P53",18.85,0.073,0.064,0.047,0.03,32.2,2.99,6.55,9,2015,"Fall",595,31,12,47,3,90,30
"2015-09-15","P51",20.84,0.075,0.069,0.049,0.03,19.9,1.76,6.71,9,2015,"Fall",874,33,258,76,10,131,60
"2015-09-15","CP3",23.32,0.184,0.178,0.119,0.09,74.3,6.32,6.88,9,2015,"Fall",423,44,61,32,4,53,5
"2015-09-15","CP2",19.98,0.457,0.413,0.297,0.22,32.3,2.9,6.52,9,2015,"Fall",200,35,60,23,4,82,100
"2015-10-14","AN2",15.95,0.194,0.161,0.126,0.09,22,2.16,6.72,10,2015,"Fall",583,19,48,38,13,1,18
"2015-10-14","AN3",15.8,0.147,0.121,0.096,0.07,15.7,1.53,6.36,10,2015,"Fall",913,7,43,67,20,4,15
"2015-10-14","AN0",16.1,0.292,0.243,0.19,0.14,28.8,2.83,6.54,10,2015,"Fall",556,31,84,49,12,1,7
"2015-10-14","P51",18.51,0.097,0.085,0.063,0.05,15.8,1.48,6.71,10,2015,"Fall",548,4,76,76,14,0,33
"2015-10-14","P53",16.05,0.046,0.038,0.03,0.02,25.7,2.53,6,10,2015,"Fall",390,5,17,26,9,44,22
"2015-10-14","CP1",18.06,0.413,0.359,0.269,0.2,74.8,7.06,6.8,10,2015,"Fall",929,741,123,156,98,2,0
"2015-10-14","CP2",18.33,0.628,0.547,0.408,0.31,17.2,1.61,6.51,10,2015,"Fall",264,30,37,11,11,0,212
"2015-10-14","CP3",18.64,0.195,0.171,0.126,0.09,86.6,8.09,8.23,10,2015,"Fall",437,26,31,21,9,11,2
"2015-10-14","WT5",18.35,0.304,0.265,0.198,0.15,42.5,4.2,6.58,10,2015,"Fall",716,245,74,31,7,4,50
"2015-10-14","WT3",16.59,0.179,0.15,0.116,0.08,13.1,1.27,5.05,10,2015,"Fall",609,16,75,31,0,7,38
"2015-10-14","AN5",15.78,0.178,0.147,0.116,0.08,10.5,1.03,5.69,10,2015,"Fall",769,8,17,124,6,3,67
"2015-10-14","WT4",16.24,0.406,0.338,0.264,0.2,40.7,3.99,6.43,10,2015,"Fall",791,351,103,50,5,5,23
"2015-10-14","WT1",16.48,0.331,0.277,0.215,0.16,60.7,5.9,6.81,10,2015,"Fall",466,92,77,48,8,0,40
"2015-11-17","WT5",9.85,0.238,0.169,0.154,0.11,96.9,10.86,7.18,11,2015,"Fall",4330,240,116,70,4,7,32
"2015-11-17","WT3",9.55,0.177,0.125,0.114,0.08,90.3,10.07,6.98,11,2015,"Fall",871,18,9,29,2,7,25
"2015-11-17","AN5",8.51,0.165,0.113,0.107,0.08,39.3,4.53,6.91,11,2015,"Fall",532,11,9,24,3,7,63
"2015-11-17","WT4",9.82,0.243,0.173,0.158,0.12,91.2,10.26,7.02,11,2015,"Fall",775,284,119,48,3,4,175
"2015-11-17","WT1",10.39,0.223,0.161,0.145,0.11,95.8,10.7,7.04,11,2015,"Fall",662,200,104,64,4,2,35
