"Date","Site","Temp_C","SpCond_mScm","Cond_mScm","TDS_mgl","Sal_ppt","DO_percent","DO_mgL","pH","Month","Year","Season"
2012-01-10,"AN-0",7.94,0.267,0.18,0.174,0.13,73.1,8.56,6.6,1,2012,"Winter"
2012-01-10,"AN-1",7.93,0.272,0.183,0.177,0.13,76.6,9.09,6.56,1,2012,"Winter"
2012-01-10,"AN-2",7.81,0.288,0.193,0.187,0.14,87.5,10.32,6.5,1,2012,"Winter"
2012-01-10,"AN-3",7.49,0.141,0.094,0.092,0.07,NA,4.33,6.46,1,2012,"Winter"
2012-01-10,"AN-4",7.56,0.299,0.199,0.194,0.14,NA,NA,6.68,1,2012,"Winter"
2012-01-10,"AN-5",7.58,0.257,0.11,0.162,0.12,6.7,0.71,6.58,1,2012,"Winter"
2012-01-10,"AN-6",7.72,0.318,0.213,0.207,0.15,98.3,11.61,7.05,1,2012,"Winter"
2012-01-10,"P3D",9.85,0.375,0.269,0.244,0.18,71.1,8.01,6.91,1,2012,"Winter"
2012-01-10,"PDU",11.36,0.437,0.323,0.284,0.21,87.3,9.5,6.94,1,2012,"Winter"
2012-01-10,"WR-1",11.96,0.384,0.288,0.249,0.19,87.7,9.43,7,1,2012,"Winter"
2012-01-10,"WR-2",9.37,0.249,0.174,0.162,0.12,83.9,9.56,6.86,1,2012,"Winter"
2012-01-10,"WT-1",7.79,0.152,0.102,0.099,0.07,98,11.62,6.93,1,2012,"Winter"
2012-01-10,"WT-3",7.47,0.316,0.21,0.205,0.15,88.5,10.54,6.78,1,2012,"Winter"
2012-01-10,"WT-4",7.92,0.222,0.149,0.144,0.11,84.1,9.95,6.85,1,2012,"Winter"
2012-01-10,"WT-5",8.17,0.288,0.196,0.187,0.14,86.1,10.07,6.98,1,2012,"Winter"
2012-01-23,"AN-0",7.94,0.267,0.18,0.174,0.13,73.1,8.56,6.6,1,2012,"Winter"
2012-01-23,"AN-0",9.55,0.354,0.25,0.23,0.17,111.2,12.69,6.84,1,2012,"Winter"
2012-01-23,"AN-1",7.93,0.272,0.183,0.177,0.13,76.6,9.09,6.56,1,2012,"Winter"
2012-01-23,"AN-1",9.58,0.224,0.158,0.145,0.11,103,11.77,7.03,1,2012,"Winter"
2012-01-23,"AN-2",7.81,0.288,0.193,0.187,0.14,87.5,10.32,6.5,1,2012,"Winter"
2012-01-23,"AN-2",7.35,0.206,0.137,0.134,0.1,86,10.31,6.76,1,2012,"Winter"
2012-01-23,"AN-3",7.49,0.141,0.094,0.092,0.07,NA,4.33,6.46,1,2012,"Winter"
2012-01-23,"AN-3",7.28,0.156,0.103,0.101,0.07,32.4,3.9,6.78,1,2012,"Winter"
2012-01-23,"AN-4",7.56,0.299,0.199,0.194,0.14,NA,10.81,6.68,1,2012,"Winter"
2012-01-23,"AN-4",9.25,0.202,0.141,0.131,0.1,111.3,12.73,6.78,1,2012,"Winter"
2012-01-23,"AN-5",7.58,0.257,0.11,0.162,0.12,6.7,0.71,6.58,1,2012,"Winter"
2012-01-23,"AN-5",6.96,0.211,0.139,0.138,0.1,12.2,1.45,6.59,1,2012,"Winter"
2012-01-23,"AN-6",7.72,0.318,0.213,0.207,0.15,98.3,11.61,7.05,1,2012,"Winter"
2012-01-23,"AN-6",9.61,0.188,0.133,0.122,0.09,130.2,14.76,6.85,1,2012,"Winter"
2012-01-23,"P3D",9.85,0.375,0.269,0.244,0.18,71.1,8.01,6.91,1,2012,"Winter"
2012-01-23,"P3D",10.73,0.486,0.354,0.318,0.24,74.3,8.16,6.57,1,2012,"Winter"
2012-01-23,"PDU",11.36,0.437,0.323,0.284,0.21,87.3,9.5,6.94,1,2012,"Winter"
2012-01-23,"PDU",13.26,0.466,0.362,0.303,0.23,104.2,10.84,6.92,1,2012,"Winter"
2012-01-23,"WR-1",11.96,0.384,0.288,0.249,0.19,87.7,9.43,7,1,2012,"Winter"
2012-01-23,"WR-1",10.07,0.402,0.287,0.261,0.19,105.6,11.85,7.22,1,2012,"Winter"
2012-01-23,"WR-2",9.37,0.249,0.174,0.162,0.12,83.9,9.56,6.86,1,2012,"Winter"
2012-01-23,"WR-2",11.77,0.399,0.298,0.26,0.19,110.7,11.98,7.13,1,2012,"Winter"
2012-01-23,"WT-1",7.79,0.152,0.102,0.099,0.07,98,11.62,6.93,1,2012,"Winter"
2012-01-23,"WT-1",9.03,0.266,0.178,0.167,0.12,120.1,13.88,6.67,1,2012,"Winter"
2012-01-23,"WT-3",7.47,0.316,0.21,0.205,0.15,88.5,10.54,6.78,1,2012,"Winter"
2012-01-23,"WT-3",9.05,0.207,0.144,0.135,0.1,107.3,12.36,6.29,1,2012,"Winter"
2012-01-23,"WT-4",7.92,0.222,0.149,0.144,0.11,84.1,9.95,6.85,1,2012,"Winter"
2012-01-23,"WT-4",8.53,0.261,0.179,0.17,0.12,111.1,12.97,6.5,1,2012,"Winter"
2012-01-23,"WT-5",8.17,0.288,0.196,0.187,0.14,86.1,10.07,6.98,1,2012,"Winter"
2012-01-23,"WT-5",7.04,0.195,0.128,0.127,0.09,91.6,11.17,6.12,1,2012,"Winter"
2012-02-07,"AN-0",5.61,0.382,0.24,0.248,0.18,70.7,8.86,6.4,2,2012,"Winter"
2012-02-07,"AN-1",5.9,0.236,0.15,0.153,0.11,83.3,10.2,6.53,2,2012,"Winter"
