Tracking No.,Date,Site,Rep,Unfiltered_TN_ugL,Filtered_NOx_ugL,Filtered_NHx_ugL,Unfiltered_TP_ ugL,Filtered_OP_ugL,TSS_mgL,fecal_coliform_colonies_per100mL
DF20120110SW,1/10/12,AN0,1,474,356,8,33,21,NA,NA
DF20120110SW,1/10/12,AN0,2,461,285,5,35,18,NA,NA
DF20120110SW,1/10/12,AN0,3,473,286,6,38,17,NA,NA
DF20120110SW,1/10/12,AN1,1,205,149,12,18,18,NA,NA
DF20120110SW,1/10/12,AN1,2,211,138,24,19,14,NA,NA
DF20120110SW,1/10/12,AN1,3,209,161,14,20,13,NA,NA
DF20120110SW,1/10/12,AN2,1,217,127,4,23,19,NA,NA
DF20120110SW,1/10/12,AN2,2,214,136,5,19,15,NA,NA
DF20120110SW,1/10/12,AN2,3,204,143,0,22,16,NA,NA
DF20120110SW,1/10/12,AN3,1,51,36,3,53,33,NA,NA
DF20120110SW,1/10/12,AN3,2,52,5,5,53,32,NA,NA
DF20120110SW,1/10/12,AN3,3,37,53,42,54,30,NA,NA
DF20120110SW,1/10/12,AN4,1,185,141,24,20,16,NA,NA
DF20120110SW,1/10/12,AN4,2,184,104,4,19,15,NA,NA
DF20120110SW,1/10/12,AN4+C22,3,180,107,8,18,16,NA,NA
DF20120110SW,1/10/12,AN5,1,50,23,6,23,13,NA,NA
DF20120110SW,1/10/12,AN5,2,45,5,10,22,11,NA,NA
DF20120110SW,1/10/12,AN5,3,41,7,4,18,11,NA,NA
DF20120110SW,1/10/12,AN6,1,101,98,14,18,19,NA,NA
DF20120110SW,1/10/12,AN6,2,48,52,7,16,16,NA,NA
DF20120110SW,1/10/12,AN6,3,49,53,9,13,17,NA,NA
DF20120110SW,1/10/12,P3D,1,622,538,3,27,20,NA,NA
DF20120110SW,1/10/12,P3D,2,744,524,7,25,17,NA,NA
DF20120110SW,1/10/12,P3D,3,742,511,17,29,16,NA,NA
DF20120110SW,1/10/12,P3U,1,1308,1269,18,38,43,NA,NA
DF20120110SW,1/10/12,P3U,2,1621,1524,7,37,38,NA,NA
DF20120110SW,1/10/12,P3U,3,1661,1496,5,40,32,NA,NA
DF20120110SW,1/10/12,WR1,1,708,590,7,70,68,NA,NA
DF20120110SW,1/10/12,WR1,2,735,655,6,73,63,NA,NA
DF20120110SW,1/10/12,WR1,3,764,654,6,71,63,NA,NA
DF20120110SW,1/10/12,WR2,1,573,539,10,135,113,NA,NA
DF20120110SW,1/10/12,WR2,2,586,529,4,142,118,NA,NA
DF20120110SW,1/10/12,WR2,3,575,515,7,142,116,NA,NA
DF20120110SW,1/10/12,WT1,1,500,404,8,40,24,NA,NA
DF20120110SW,1/10/12,WT1,2,512,423,8,43,25,NA,NA
DF20120110SW,1/10/12,WT1,3,554,411,14,36,24,NA,NA
DF20120110SW,1/10/12,WT3,1,96,83,20,10,17,NA,NA
DF20120110SW,1/10/12,WT3,2,95,52,15,11,12,NA,NA
DF20120110SW,1/10/12,WT3,3,72,60,5,15,12,NA,NA
DF20120110SW,1/10/12,WT4,1,449,399,8,38,26,NA,NA
DF20120110SW,1/10/12,WT4,2,512,487,6,38,22,NA,NA
DF20120110SW,1/10/12,WT4,3,525,435,7,38,23,NA,NA
DF20120110SW,1/10/12,WT5,1,485,402,7,24,19,NA,NA
DF20120110SW,1/10/12,WT5,2,485,386,17,42,19,NA,NA
DF20120110SW,1/10/12,WT5,3,458,391,3,40,20,NA,NA
DF20120123SW,1/23/12,AN0,1,258,104,9,15,10,NA,NA
DF20120123SW,1/23/12,AN0,2,224,227,17,18,11,NA,NA
DF20120123SW,1/23/12,AN0,3,262,223,8,18,10,NA,NA
DF20120123SW,1/23/12,AN1,1,174,101,11,11,17,NA,NA
DF20120123SW,1/23/12,AN1,2,173,99,17,13,10,NA,NA
DF20120123SW,1/23/12,AN1,3,181,103,18,13,10,NA,NA
DF20120123SW,1/23/12,AN2,1,126,131,30,11,13,NA,NA
DF20120123SW,1/23/12,AN2,2,127,135,11,13,12,NA,NA
DF20120123SW,1/23/12,AN2,3,133,66,7,12,12,NA,NA
DF20120123SW,1/23/12,AN3,1,21,21,15,28,25,NA,NA
DF20120123SW,1/23/12,AN3,2,55,42,14,33,26,NA,NA
